scanning 11719921 files with 12 workers
  3690000/11719921  29242 files/s
  3700000/11719921  29234 files/s
  3710000/11719921  29185 files/s
  3720000/11719921  29190 files/s
  3730000/11719921  29195 files/s
  3740000/11719921  29161 files/s
  3750000/11719921  29162 files/s
  3760000/11719921  29166 files/s
  3770000/11719921  29170 files/s
  3780000/11719921  29181 files/s
  3790000/11719921  29162 files/s
  3800000/11719921  29184 files/s
  3810000/11719921  29205 files/s
  3820000/11719921  29226 files/s
  3830000/11719921  29199 files/s
  3840000/11719921  29204 files/s
  3850000/11719921  29213 files/s
  3860000/11719921  29206 files/s
  3870000/11719921  29184 files/s
  3880000/11719921  29199 files/s
  3890000/11719921  29210 files/s
  3900000/11719921  29210 files/s
  3910000/11719921  29210 files/s
  3920000/11719921  29176 files/s
  3930000/11719921  29187 files/s
  3940000/11719921  29198 files/s
  3950000/11719921  29196 files/s
  3960000/11719921  29152 files/s
  3970000/11719921  29166 files/s
  3980000/11719921  29189 files/s
  3990000/11719921  29211 files/s
  4000000/11719921  29175 files/s
  4010000/11719921  29195 files/s
  4020000/11719921  29214 files/s
  4030000/11719921  29217 files/s
  4040000/11719921  29224 files/s
  4050000/11719921  29186 files/s
  4060000/11719921  29183 files/s
  4070000/11719921  29186 files/s
  4080000/11719921  29184 files/s
  4090000/11719921  29188 files/s
  4100000/11719921  29149 files/s
  4110000/11719921  29157 files/s
  4120000/11719921  29162 files/s
  4130000/11719921  29131 files/s
  4140000/11719921  29120 files/s
  4150000/11719921  29129 files/s
  4160000/11719921  29135 files/s
  4170000/11719921  29133 files/s
  4180000/11719921  29096 files/s
  4190000/11719921  29091 files/s
  4200000/11719921  29093 files/s
  4210000/11719921  29073 files/s
  4220000/11719921  29036 files/s
  4230000/11719921  29057 files/s
  4240000/11719921  29079 files/s
  4250000/11719921  29101 files/s
  4260000/11719921  29122 files/s
  4270000/11719921  29144 files/s
  4280000/11719921  29127 files/s
  4290000/11719921  29132 files/s
  4300000/11719921  29085 files/s
  4310000/11719921  29088 files/s
  4320000/11719921  29072 files/s
  4330000/11719921  29067 files/s
  4340000/11719921  29031 files/s
  4350000/11719921  29031 files/s
  4360000/11719921  29030 files/s
  4370000/11719921  29019 files/s
  4380000/11719921  28982 files/s
  4390000/11719921  28981 files/s
  4400000/11719921  28986 files/s
  4410000/11719921  28987 files/s
  4420000/11719921  28960 files/s
  4430000/11719921  28968 files/s
  4440000/11719921  28978 files/s
  4450000/11719921  28986 files/s
  4460000/11719921  28955 files/s
  4470000/11719921  28953 files/s
  4480000/11719921  28954 files/s
  4490000/11719921  28916 files/s
  4500000/11719921  28923 files/s
  4510000/11719921  28940 files/s
  4520000/11719921  28958 files/s
  4530000/11719921  28972 files/s
  4540000/11719921  28954 files/s
  4550000/11719921  28956 files/s
  4560000/11719921  28973 files/s
  4570000/11719921  28979 files/s
  4580000/11719921  28941 files/s
  4590000/11719921  28938 files/s
  4600000/11719921  28902 files/s
  4610000/11719921  28900 files/s
  4620000/11719921  28901 files/s
  4630000/11719921  28918 files/s
